product_name,category,price,stock,daily_sales,lead_time,demand
Laptop,Electronics,12411,72,21,6,129
Keyboard,Electronics,27761,96,24,8,188
Mouse,Electronics,38652,83,1,9,4
Table,Furniture,22601,53,24,14,338
Mouse,Electronics,40003,53,10,14,140
Phone,Electronics,10719,132,12,12,148
Shampoo,Personal Care,13737,215,4,7,28
Bottle,Accessories,20406,235,10,5,49
Notebook,Stationery,18738,274,23,7,162
Bag,Fashion,17258,109,25,9,223
Oil,Grocery,41153,227,17,12,209
Printer,Electronics,12797,281,2,6,16
Soap,Personal Care,18136,221,5,6,31
Pen,Stationery,48660,119,22,1,26
Shampoo,Personal Care,22879,139,25,14,346
Bottle,Accessories,37889,19,28,4,111
Laptop,Electronics,31505,192,24,10,236
Keyboard,Electronics,38506,166,8,9,70
Phone,Electronics,25452,137,20,13,262
Oil,Grocery,12082,250,15,10,154
Shampoo,Personal Care,40696,80,28,11,303
Printer,Electronics,42358,185,14,2,23
Headphones,Electronics,38077,252,14,2,29
Chair,Furniture,46140,55,17,2,30
Rice,Grocery,6327,258,20,6,122
Shampoo,Personal Care,31316,114,28,15,421
Chair,Furniture,38233,138,27,1,31
Laptop,Electronics,31122,205,22,13,282
Shoes,Fashion,30473,201,15,12,180
Keyboard,Electronics,40232,69,15,8,118
Bag,Fashion,47635,159,27,9,239
Phone,Electronics,37016,173,30,10,305
Notebook,Stationery,9330,259,25,3,70
Table,Furniture,44157,55,6,11,63
Laptop,Electronics,39641,274,8,3,23
Pen,Stationery,18680,196,24,13,315
Bottle,Accessories,43201,102,24,7,164
Chair,Furniture,39469,144,3,6,18
Laptop,Electronics,43066,179,16,15,238
Headphones,Electronics,16206,138,30,14,422
Mouse,Electronics,28689,182,1,2,1
Bottle,Accessories,44496,185,24,15,355
Mouse,Electronics,44029,34,5,6,31
Shoes,Fashion,26392,9,9,6,50
Oil,Grocery,12566,44,29,13,382
Milk,Grocery,5989,106,10,14,139
Oil,Grocery,44008,210,8,15,118
Shampoo,Personal Care,1973,4,16,5,75
Laptop,Electronics,8684,296,21,5,105
Laptop,Electronics,43104,215,23,4,97
Shampoo,Personal Care,36870,139,18,11,203
Bag,Fashion,45053,44,20,4,75
Sugar,Grocery,18672,268,6,9,56
Soap,Personal Care,730,114,13,12,155
Shampoo,Personal Care,23927,61,20,15,298
Laptop,Electronics,8637,143,9,10,92
Soap,Personal Care,38112,87,26,12,310
Monitor,Electronics,25341,14,10,2,21
Pen,Stationery,44831,102,24,11,263
Mouse,Electronics,30456,286,7,10,73
Monitor,Electronics,12926,60,30,4,119
Headphones,Electronics,37216,292,4,8,36
Table,Furniture,44313,193,5,4,20
Soap,Personal Care,38032,85,20,6,115
Phone,Electronics,8693,210,14,5,71
Bottle,Accessories,15907,262,2,4,11
Shampoo,Personal Care,26194,140,21,2,47
Sugar,Grocery,45453,206,6,4,20
Rice,Grocery,1736,150,20,15,300
Bag,Fashion,16430,221,10,6,57
Notebook,Stationery,37788,61,24,15,361
Phone,Electronics,12600,81,9,4,38
Mouse,Electronics,34198,183,23,2,43
Keyboard,Electronics,36306,228,1,15,17
Printer,Electronics,36436,63,23,7,163
Keyboard,Electronics,21870,78,28,5,140
Bag,Fashion,37602,45,22,12,263
Phone,Electronics,27564,166,9,7,63
Rice,Grocery,34801,244,2,4,12
Pen,Stationery,36022,133,19,5,94
Table,Furniture,24862,63,14,15,206
Milk,Grocery,31850,30,15,9,139
Chair,Furniture,48537,10,13,4,47
Phone,Electronics,8541,20,18,5,90
Printer,Electronics,36800,279,21,14,292
Notebook,Stationery,11910,147,29,1,26
Pen,Stationery,41583,156,24,13,316
Monitor,Electronics,5603,7,14,13,179
Oil,Grocery,44822,97,18,8,144
Keyboard,Electronics,7509,282,10,13,133
Headphones,Electronics,39212,13,25,13,328
Table,Furniture,45302,155,26,6,152
Soap,Personal Care,4183,224,27,2,59
Chair,Furniture,42391,281,29,1,32
Printer,Electronics,19464,221,9,8,72
Bag,Fashion,41751,70,20,2,45
Chair,Furniture,322,39,10,5,55
Shampoo,Personal Care,26032,12,19,13,248
Pen,Stationery,30389,122,4,10,38
Bottle,Accessories,31694,29,13,6,73
Bag,Fashion,37304,138,20,11,225
Keyboard,Electronics,14218,297,6,6,38
Keyboard,Electronics,9187,71,20,13,263
Oil,Grocery,6374,292,2,3,8
Keyboard,Electronics,7464,27,27,10,272
Shampoo,Personal Care,29543,1,26,15,385
Soap,Personal Care,558,130,15,2,26
Monitor,Electronics,42910,100,17,7,119
Notebook,Stationery,42807,115,1,5,9
Soap,Personal Care,42791,51,14,3,37
Pen,Stationery,21767,154,15,7,101
Milk,Grocery,34228,189,2,6,7
Phone,Electronics,10362,81,20,6,120
Notebook,Stationery,31193,167,25,15,377
Pen,Stationery,20535,75,8,5,39
Oil,Grocery,45533,51,4,15,56
Oil,Grocery,39694,169,14,13,186
Bag,Fashion,19814,208,12,12,144
Laptop,Electronics,46335,57,16,3,47
Soap,Personal Care,1969,125,3,12,32
Shoes,Fashion,5849,145,8,2,12
Bag,Fashion,7628,112,8,11,85
Laptop,Electronics,49530,142,22,1,21
Mouse,Electronics,35573,228,14,12,166
Rice,Grocery,18716,220,9,6,57
Soap,Personal Care,4371,70,16,2,32
Monitor,Electronics,41962,241,27,12,329
Monitor,Electronics,38859,139,28,5,145
Bottle,Accessories,34315,151,22,1,17
Keyboard,Electronics,10440,21,1,4,4
Headphones,Electronics,3402,44,11,10,108
Bag,Fashion,17625,105,1,3,0
Pen,Stationery,16967,141,25,10,247
Laptop,Electronics,9568,32,13,8,106
Oil,Grocery,5878,103,23,12,281
Pen,Stationery,42135,238,26,15,385
Milk,Grocery,42169,27,26,14,362
Oil,Grocery,195,9,6,9,51
Milk,Grocery,18495,181,11,15,160
Monitor,Electronics,28586,26,4,2,6
Keyboard,Electronics,15007,217,10,9,88
Keyboard,Electronics,26834,10,12,6,71
Soap,Personal Care,31942,274,20,1,23
Chair,Furniture,12132,258,30,8,236
Mouse,Electronics,7599,61,30,9,273
Keyboard,Electronics,1145,229,16,7,117
Printer,Electronics,6525,34,21,7,144
Monitor,Electronics,29248,40,8,15,125
Milk,Grocery,40329,77,17,15,254
Table,Furniture,32365,143,28,4,109
Chair,Furniture,33844,125,13,4,51
Headphones,Electronics,4766,247,27,12,321
Chair,Furniture,34512,128,23,15,350
Bag,Fashion,40512,202,13,11,143
Bag,Fashion,9196,202,9,1,10
Mouse,Electronics,25416,1,22,14,304
Chair,Furniture,36556,49,10,12,121
Pen,Stationery,46027,297,28,12,331
Chair,Furniture,7892,84,18,4,74
Monitor,Electronics,4665,181,6,7,40
Bag,Fashion,20966,77,25,9,229
Chair,Furniture,19067,105,24,6,146
Rice,Grocery,10378,267,11,7,74
Phone,Electronics,12392,201,11,1,9
Shoes,Fashion,32507,264,24,7,165
Laptop,Electronics,49350,169,12,14,163
Shampoo,Personal Care,47877,58,29,2,62
Monitor,Electronics,38524,250,17,14,243
Mouse,Electronics,41119,136,15,12,178
Laptop,Electronics,36824,268,24,2,50
Bag,Fashion,39152,105,15,8,124
Monitor,Electronics,24874,229,11,6,63
Mouse,Electronics,48235,228,22,12,259
Shampoo,Personal Care,38627,194,22,15,333
Bottle,Accessories,21483,237,1,12,15
Rice,Grocery,24241,261,6,14,84
Sugar,Grocery,46345,229,17,15,259
Milk,Grocery,16228,292,13,4,47
Bottle,Accessories,23369,263,29,11,317
Keyboard,Electronics,42300,75,16,14,224
Chair,Furniture,18250,292,5,13,65
Printer,Electronics,20832,174,27,2,57
Headphones,Electronics,12874,25,30,8,240
Chair,Furniture,44049,296,21,1,16
Shoes,Fashion,22375,117,6,14,88
Soap,Personal Care,36539,62,29,3,92
Headphones,Electronics,3394,118,19,6,110
Pen,Stationery,29401,89,1,5,2
Mouse,Electronics,23528,285,16,7,115
Phone,Electronics,452,104,6,11,61
Soap,Personal Care,8563,101,12,6,68
Sugar,Grocery,20193,54,16,15,238
Pen,Stationery,6722,44,8,4,30
Mouse,Electronics,11758,197,19,15,288
Rice,Grocery,31778,128,14,6,84
Keyboard,Electronics,14079,79,3,1,1
Pen,Stationery,35944,257,9,11,97
Soap,Personal Care,43605,226,12,14,164
Shoes,Fashion,49891,37,7,11,75
Pen,Stationery,19225,55,27,15,401
Mouse,Electronics,45602,166,19,8,147
Soap,Personal Care,45097,41,18,15,270
Printer,Electronics,46443,235,30,6,177
Sugar,Grocery,48209,136,8,7,58
Printer,Electronics,34492,235,11,13,148
Printer,Electronics,26957,242,10,9,85
Monitor,Electronics,27373,55,13,9,114
Sugar,Grocery,13207,107,18,4,71
Bag,Fashion,23646,90,23,3,74
Bag,Fashion,31891,291,26,9,235
Bottle,Accessories,34764,198,6,10,57
Chair,Furniture,40466,218,4,9,38
Laptop,Electronics,5704,282,17,13,224
Laptop,Electronics,593,9,15,9,138
Shoes,Fashion,9954,268,7,11,78
Notebook,Stationery,14659,21,18,1,19
Milk,Grocery,11141,175,12,11,133
Bag,Fashion,23186,83,19,7,138
Soap,Personal Care,14867,287,24,13,311
Phone,Electronics,23938,88,17,4,71
Phone,Electronics,32678,55,29,5,140
Keyboard,Electronics,9782,138,30,13,391
Bag,Fashion,46697,189,4,7,26
Sugar,Grocery,26121,77,18,10,183
Laptop,Electronics,17984,127,13,4,48
Soap,Personal Care,10185,213,29,11,320
Mouse,Electronics,20494,235,11,2,25
Shoes,Fashion,19981,144,19,6,118
Monitor,Electronics,21350,242,14,5,67
Bottle,Accessories,11791,124,8,3,27
Rice,Grocery,7099,151,14,7,98
Keyboard,Electronics,7281,22,28,14,393
Laptop,Electronics,13336,291,11,14,153
Printer,Electronics,6050,163,23,4,95
Mouse,Electronics,49883,20,3,13,40
Bag,Fashion,40798,70,14,11,154
Laptop,Electronics,44889,111,7,15,109
Bottle,Accessories,38908,105,1,2,0
Bottle,Accessories,34999,199,10,11,114
Rice,Grocery,3452,165,19,9,170
Keyboard,Electronics,44668,167,18,2,41
Table,Furniture,47871,225,12,9,109
Rice,Grocery,42163,35,22,1,24
Bottle,Accessories,48665,243,7,14,98
Keyboard,Electronics,38690,297,8,2,19
Bag,Fashion,31232,64,15,7,101
Pen,Stationery,33080,280,14,15,205
Chair,Furniture,44936,251,7,4,26
Chair,Furniture,1875,20,25,5,123
Shoes,Fashion,31075,57,4,10,36
Laptop,Electronics,39500,285,19,13,248
Keyboard,Electronics,14179,183,1,2,6
Phone,Electronics,3446,215,6,10,62
Milk,Grocery,26883,50,1,7,9
Mouse,Electronics,36864,59,17,6,99
Milk,Grocery,25410,90,6,13,76
Phone,Electronics,39245,65,11,13,144
Monitor,Electronics,41628,164,21,6,127
Soap,Personal Care,884,140,17,15,252
Sugar,Grocery,33775,285,22,5,112
Rice,Grocery,40722,134,8,11,87
Shoes,Fashion,14793,4,8,13,107
Milk,Grocery,12361,157,27,14,375
Phone,Electronics,42258,156,16,2,37
Oil,Grocery,45865,229,4,8,32
Oil,Grocery,25176,48,2,15,27
Bottle,Accessories,29770,117,10,12,121
Monitor,Electronics,23051,146,26,8,207
Mouse,Electronics,17463,214,20,7,144
Mouse,Electronics,8434,161,15,13,192
Soap,Personal Care,18899,102,22,6,135
Headphones,Electronics,29449,112,23,6,135
Pen,Stationery,48015,45,16,4,64
Table,Furniture,23999,22,28,8,229
Bottle,Accessories,9234,281,2,3,6
Rice,Grocery,471,274,8,15,118
Phone,Electronics,14564,52,10,4,36
Headphones,Electronics,40093,21,27,15,406
Mouse,Electronics,46932,179,1,8,5
Shampoo,Personal Care,13429,71,8,15,121
Milk,Grocery,13548,18,22,12,266
Shoes,Fashion,18532,229,18,10,176
Notebook,Stationery,19783,253,9,3,22
Monitor,Electronics,21330,44,15,13,198
Rice,Grocery,42894,70,4,12,43
Phone,Electronics,31513,24,25,12,295
Printer,Electronics,42399,110,3,5,19
Milk,Grocery,46404,38,23,2,45
Shampoo,Personal Care,31421,139,23,10,230
Sugar,Grocery,9062,190,20,2,39
Rice,Grocery,25,21,26,13,334
Mouse,Electronics,23263,271,7,4,27
Mouse,Electronics,32306,209,22,8,178
Keyboard,Electronics,7598,74,4,7,27
Rice,Grocery,30944,37,17,2,30
Shampoo,Personal Care,47742,69,2,14,29
Keyboard,Electronics,30316,191,16,2,30
Headphones,Electronics,39733,280,3,13,44
Headphones,Electronics,19800,144,14,15,207
Headphones,Electronics,46586,156,10,4,40
Shoes,Fashion,17829,131,11,10,106
Sugar,Grocery,30567,101,14,3,39
Oil,Grocery,6469,194,19,9,167
Shoes,Fashion,31512,193,29,8,237
Bottle,Accessories,3299,270,13,14,182
Mouse,Electronics,2356,214,27,2,52
Monitor,Electronics,34368,93,9,7,58
Milk,Grocery,24912,271,5,7,31
Bottle,Accessories,39703,202,12,10,121
Phone,Electronics,44130,229,4,5,22
Bottle,Accessories,48161,244,27,8,211
Rice,Grocery,38950,196,5,11,56
Bag,Fashion,19939,229,25,2,55
Printer,Electronics,23007,37,1,9,9
Mouse,Electronics,11317,117,18,11,193
Shampoo,Personal Care,28298,33,24,10,242
Table,Furniture,14091,91,7,8,51
Keyboard,Electronics,11574,43,5,14,74
Oil,Grocery,25174,36,23,3,74
Printer,Electronics,13957,272,19,2,41
Shampoo,Personal Care,7288,190,14,4,54
Phone,Electronics,26947,93,5,12,56
Monitor,Electronics,33920,185,6,13,82
Rice,Grocery,23478,163,3,14,46
Milk,Grocery,38593,15,19,9,172
Laptop,Electronics,49940,75,15,8,120
Shoes,Fashion,25575,186,24,5,117
Sugar,Grocery,9461,157,12,11,137
Notebook,Stationery,35461,214,12,2,25
Sugar,Grocery,28103,277,19,8,157
Laptop,Electronics,34060,97,6,9,56
Table,Furniture,15089,64,30,12,358
Printer,Electronics,27808,273,3,6,14
Rice,Grocery,6364,60,27,9,243
Sugar,Grocery,34181,63,20,14,285
Mouse,Electronics,18769,55,13,4,48
Keyboard,Electronics,26949,17,6,1,7
Phone,Electronics,37555,252,16,2,33
Phone,Electronics,13009,98,16,8,125
Printer,Electronics,44696,233,17,2,35
Printer,Electronics,19980,254,10,12,121
Chair,Furniture,16859,113,26,15,392
Notebook,Stationery,1434,287,24,13,307
Table,Furniture,13931,119,8,7,58
Phone,Electronics,30868,298,17,12,201
Bottle,Accessories,17920,9,29,12,344
Table,Furniture,196,12,14,12,165
Monitor,Electronics,3669,49,4,3,11
Mouse,Electronics,47592,189,19,4,75
Phone,Electronics,6398,236,9,15,140
Phone,Electronics,165,49,19,4,71
Shoes,Fashion,29638,234,28,14,390
Headphones,Electronics,43950,209,24,12,284
Sugar,Grocery,40454,257,28,9,248
Shampoo,Personal Care,27759,27,12,5,55
Bag,Fashion,42684,72,24,6,149
Monitor,Electronics,21984,68,21,10,209
Bottle,Accessories,1806,77,22,5,110
Mouse,Electronics,47620,267,30,9,270
Rice,Grocery,4516,146,10,8,83
Monitor,Electronics,7699,238,23,1,25
Monitor,Electronics,33766,140,28,13,359
Sugar,Grocery,48701,171,28,12,332
Chair,Furniture,15230,157,26,7,182
Oil,Grocery,18442,77,17,8,134
Pen,Stationery,22448,64,29,15,438
Pen,Stationery,12483,87,20,2,45
Bottle,Accessories,10289,151,15,11,168
Sugar,Grocery,36960,257,19,5,97
Mouse,Electronics,9912,191,2,11,22
Table,Furniture,21309,119,23,3,68
Notebook,Stationery,9488,100,19,12,223
Shoes,Fashion,26400,240,15,8,116
Milk,Grocery,12386,28,14,2,29
Milk,Grocery,18060,23,4,12,53
Monitor,Electronics,46022,283,30,13,390
Bag,Fashion,48649,247,25,7,171
Keyboard,Electronics,14847,106,6,7,47
Shampoo,Personal Care,1186,205,15,8,118
Printer,Electronics,40517,57,10,10,103
Printer,Electronics,5386,173,30,1,28
Mouse,Electronics,48526,222,12,9,110
Phone,Electronics,23230,254,30,9,269
Mouse,Electronics,3918,300,23,5,119
Headphones,Electronics,25695,46,2,3,8
Notebook,Stationery,19620,266,28,8,220
Soap,Personal Care,35510,36,25,3,75
Table,Furniture,9917,237,10,13,132
Pen,Stationery,7802,110,9,7,64
Phone,Electronics,1112,256,30,10,297
Soap,Personal Care,42964,72,27,1,26
Monitor,Electronics,45944,167,4,4,14
Mouse,Electronics,4578,37,21,2,45
Laptop,Electronics,30444,202,18,14,251
Rice,Grocery,27422,190,16,13,208
Sugar,Grocery,4419,18,26,13,333
Chair,Furniture,4920,216,19,11,211
Sugar,Grocery,20139,133,18,4,70
Laptop,Electronics,27284,293,3,7,23
Sugar,Grocery,24236,215,13,2,27
Sugar,Grocery,9124,156,23,6,136
Bag,Fashion,5019,134,13,14,186
Pen,Stationery,41564,18,12,4,43
Bottle,Accessories,26850,124,20,11,222
Headphones,Electronics,27540,44,7,8,56
Monitor,Electronics,49211,23,9,12,104
Shampoo,Personal Care,40538,76,7,1,12
Pen,Stationery,14792,4,24,4,92
Headphones,Electronics,20893,212,21,9,184
Monitor,Electronics,43855,225,13,9,116
Pen,Stationery,21492,137,17,3,49
Phone,Electronics,45192,276,6,4,22
Table,Furniture,36156,137,26,7,181
Pen,Stationery,18837,221,18,2,33
Bottle,Accessories,7657,195,5,1,2
Soap,Personal Care,47081,32,9,1,11
Table,Furniture,23224,283,8,10,85
Bottle,Accessories,34050,207,11,5,56
Shampoo,Personal Care,43707,245,28,11,312
Keyboard,Electronics,1776,128,24,11,260
Monitor,Electronics,35877,223,20,14,281
Rice,Grocery,28253,293,11,8,93
Bottle,Accessories,38128,242,25,4,100
Bottle,Accessories,24728,261,27,15,406
Oil,Grocery,23039,40,18,13,236
Notebook,Stationery,5730,215,16,10,164
Shampoo,Personal Care,19220,118,3,13,35
Milk,Grocery,38851,277,10,2,20
Phone,Electronics,34474,0,27,4,104
Milk,Grocery,4186,120,20,11,223
Bag,Fashion,15791,139,1,1,3
Table,Furniture,25142,117,16,1,19
Soap,Personal Care,33893,52,26,12,307
Laptop,Electronics,38803,3,14,5,72
Sugar,Grocery,20114,20,20,5,95
Shampoo,Personal Care,40547,103,22,8,176
Bottle,Accessories,4124,169,20,3,55
Headphones,Electronics,10257,105,10,13,134
Table,Furniture,16639,103,24,15,355
Oil,Grocery,29118,150,16,15,240
Headphones,Electronics,46234,204,1,13,12
Phone,Electronics,29114,180,17,12,200
Phone,Electronics,415,194,15,5,70
Notebook,Stationery,36016,151,13,2,28
Rice,Grocery,12572,77,12,10,119
Headphones,Electronics,33306,90,18,4,72
Table,Furniture,30589,118,30,15,446
Bag,Fashion,32629,74,9,12,106
Table,Furniture,43090,247,23,5,110
Table,Furniture,5076,47,19,2,33
Shoes,Fashion,32666,103,27,4,109
Phone,Electronics,2002,175,16,12,191
Laptop,Electronics,45550,104,1,1,2
Shampoo,Personal Care,20649,150,24,7,170
Oil,Grocery,46982,99,17,6,101
Sugar,Grocery,48010,187,13,14,187
Monitor,Electronics,35894,8,15,10,148
Phone,Electronics,20292,111,19,1,24
Bottle,Accessories,40511,95,17,12,203
Shampoo,Personal Care,18867,3,12,3,33
Mouse,Electronics,9362,31,7,12,83
Sugar,Grocery,17782,113,7,8,59
Rice,Grocery,35310,184,13,8,105
Pen,Stationery,19730,196,19,6,112
Bottle,Accessories,30530,263,14,3,47
Pen,Stationery,16828,48,14,7,103
Shoes,Fashion,37175,117,3,9,31
Keyboard,Electronics,25894,287,25,6,152
Chair,Furniture,11044,173,1,13,10
Chair,Furniture,25805,68,30,5,154
Soap,Personal Care,42098,150,2,13,26
Shoes,Fashion,23956,89,27,12,319
Keyboard,Electronics,34558,154,9,8,67
Keyboard,Electronics,42531,282,6,7,47
Oil,Grocery,22180,137,9,7,60
Soap,Personal Care,34107,230,1,13,10
Notebook,Stationery,34024,110,3,12,37
Printer,Electronics,14607,180,22,12,261
Bag,Fashion,42784,171,15,3,42
Monitor,Electronics,3724,112,6,10,61
Sugar,Grocery,36559,271,20,9,183
Headphones,Electronics,19182,136,5,15,80
Shoes,Fashion,45626,267,29,8,227
Phone,Electronics,22281,5,18,14,257
Laptop,Electronics,48376,32,26,8,203
Oil,Grocery,302,44,4,5,15
Mouse,Electronics,9107,199,27,14,378
Shoes,Fashion,44610,156,29,12,349
Notebook,Stationery,11552,46,30,8,241
Phone,Electronics,24081,40,7,14,96
Phone,Electronics,19152,185,3,3,7
Rice,Grocery,19829,219,5,9,45
Bottle,Accessories,44243,269,25,4,98
Bag,Fashion,21514,53,12,7,80
Pen,Stationery,10529,253,18,1,22
Pen,Stationery,35723,139,6,10,65
Keyboard,Electronics,21466,279,16,5,83
Table,Furniture,5605,40,2,14,29
Table,Furniture,37798,234,23,15,345
Pen,Stationery,12148,149,17,15,257
Printer,Electronics,45834,74,12,13,160
Bag,Fashion,42202,173,8,15,117
Phone,Electronics,11797,180,19,14,265
Oil,Grocery,7775,164,5,9,47
Chair,Furniture,40186,193,30,3,89
Printer,Electronics,7498,116,3,10,30
Shampoo,Personal Care,9709,192,15,6,88
Chair,Furniture,14107,115,9,15,133
Chair,Furniture,11548,77,20,9,185
Laptop,Electronics,17921,268,29,12,343
Mouse,Electronics,32568,104,24,13,316
Mouse,Electronics,43308,110,5,6,30
Printer,Electronics,37830,262,1,12,11
Laptop,Electronics,40216,0,21,6,125
Milk,Grocery,29891,110,21,4,87
Bottle,Accessories,32009,97,17,13,217
Oil,Grocery,7431,298,2,7,12
Monitor,Electronics,39869,229,5,14,75
Shoes,Fashion,43703,133,16,15,239
Monitor,Electronics,6174,218,21,13,275
Keyboard,Electronics,45609,116,26,3,82
Keyboard,Electronics,36793,21,25,15,378
Sugar,Grocery,5871,193,30,3,92
Shoes,Fashion,30030,175,25,13,321
Soap,Personal Care,44082,211,30,14,420
Sugar,Grocery,29687,286,16,9,140
Table,Furniture,20404,31,19,7,129
Milk,Grocery,45551,78,27,4,113
Phone,Electronics,32810,242,17,7,115
Bottle,Accessories,21637,196,8,9,70
Shampoo,Personal Care,1871,221,10,13,130
Shampoo,Personal Care,28223,140,2,13,22
Rice,Grocery,24069,137,25,15,371
Rice,Grocery,26962,18,3,2,10
Pen,Stationery,33666,154,10,4,38
Keyboard,Electronics,44016,216,9,4,40
Keyboard,Electronics,18208,31,9,15,133
Sugar,Grocery,1097,75,18,8,141
Mouse,Electronics,38831,39,5,2,12
Sugar,Grocery,9767,8,7,7,52
Shoes,Fashion,45453,294,22,6,136
Laptop,Electronics,32443,293,15,12,181
Table,Furniture,6543,201,25,15,372
Laptop,Electronics,14289,84,20,10,201
Shampoo,Personal Care,41362,226,25,1,30
Table,Furniture,34984,51,8,3,19
Shoes,Fashion,26417,239,5,5,24
Monitor,Electronics,36424,172,22,7,149
Monitor,Electronics,7063,234,22,1,21
Printer,Electronics,37663,50,4,12,43
Sugar,Grocery,37801,273,25,9,220
Table,Furniture,33047,193,9,9,81
Notebook,Stationery,46747,282,30,5,154
Pen,Stationery,2788,39,15,4,57
Table,Furniture,21035,185,27,2,53
Pen,Stationery,33296,185,13,6,74
Chair,Furniture,24881,42,6,12,72
Shampoo,Personal Care,32947,71,5,11,50
Headphones,Electronics,31688,173,24,2,51
Laptop,Electronics,21655,114,19,9,167
Monitor,Electronics,25780,64,17,8,132
Chair,Furniture,46609,177,9,7,68
Shoes,Fashion,36631,24,2,3,3
Table,Furniture,9027,220,3,11,35
Monitor,Electronics,19305,214,21,5,110
Mouse,Electronics,31218,48,2,13,24
Oil,Grocery,23050,155,6,6,34
Chair,Furniture,27930,174,20,3,55
Rice,Grocery,30297,51,9,15,133
Monitor,Electronics,38174,88,1,3,3
Printer,Electronics,2581,102,10,6,55
Printer,Electronics,30080,139,9,4,39
Mouse,Electronics,3174,17,12,15,185
Milk,Grocery,20852,80,23,14,324
Laptop,Electronics,30374,275,5,14,65
Milk,Grocery,40373,153,17,10,168
Notebook,Stationery,21451,171,27,6,162
Soap,Personal Care,40145,15,3,2,2
Laptop,Electronics,19627,200,15,1,18
Laptop,Electronics,44989,253,24,12,286
Shoes,Fashion,1195,135,5,1,1
Chair,Furniture,24760,110,11,1,10
Shoes,Fashion,18314,99,18,3,53
Monitor,Electronics,9355,40,12,8,100
Bottle,Accessories,2548,209,4,9,40
Table,Furniture,24462,71,25,1,30
Mouse,Electronics,28016,263,26,15,386
Notebook,Stationery,24584,233,30,8,245
Keyboard,Electronics,45799,31,3,7,18
Pen,Stationery,40757,15,25,15,380
